state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Missouri,MO,MO-01,1,220,585486,282851,13491,270239,13815,3729,142,
Missouri,MO,MO-02,2,221,567814,518245,10006,18714,17329,2954,111,
Missouri,MO,MO-03,3,222,586107,530195,11083,29461,9769,4900,285,
Missouri,MO,MO-04,4,223,578004,519186,18279,24979,5765,8543,404,
Missouri,MO,MO-05,5,224,555521,378428,31721,126645,9970,6908,1343,
Missouri,MO,MO-06,6,225,582444,530195,16327,23864,6199,5352,531,
Missouri,MO,MO-07,7,226,573608,523485,17447,12599,7082,11713,415,
Missouri,MO,MO-08,8,227,601130,553857,9239,26536,3580,7451,177,
Mississippi,MS,MS-01,1,228,559319,389299,10031,153435,3452,2546,276,
Mississippi,MS,MS-02,2,229,569326,194685,8084,361586,2061,2732,237,
Mississippi,MS,MS-03,3,230,556045,350603,7051,188141,4036,6140,160,
Mississippi,MS,MS-04,4,231,553412,396997,16519,125595,8468,4850,233,
Montana,MT,MT-01,1,232,418340,376728,11930,2247,4424,22123,248,
Montana,MT,MT-02,2,233,405425,353572,13381,3175,2967,31686,211,
North Carolina,NC,NC-01,1,234,590680,310089,16167,252670,4473,7262,238,
North Carolina,NC,NC-02,2,235,503811,346245,26572,94001,32262,3178,294,
North Carolina,NC,NC-03,3,236,570153,405065,35100,113800,7892,6726,676,
North Carolina,NC,NC-04,4,237,532606,333099,23600,152305,17945,4914,301,
North Carolina,NC,NC-05,5,238,571135,468426,20886,71271,5278,4322,516,
North Carolina,NC,NC-06,6,239,539967,324228,21704,174826,13639,5021,136,
North Carolina,NC,NC-07,7,240,598686,405342,20372,117299,5743,49711,261,
North Carolina,NC,NC-08,8,241,538460,423919,20349,80585,8417,5238,111,
North Carolina,NC,NC-09,9,242,540216,341421,38146,134683,10635,13452,805,
North Carolina,NC,NC-10,10,243,557976,466436,18010,59390,9985,3621,203,
North Carolina,NC,NC-11,11,244,585197,528051,15484,24101,4919,12032,197,
North Carolina,NC,NC-12,12,245,487001,246787,29140,190011,16386,3927,114,
North Carolina,NC,NC-13,13,246,510274,342642,27642,125320,9312,5739,258,
North Carolina,NC,NC-14,14,247,510387,342455,29285,114969,18698,4165,185,
North Dakota,ND,ND-AL,0,248,564938,500439,16389,11967,5467,29672,698,
Nebraska,NE,NE-01,1,249,461850,403768,26086,15095,10845,4496,400,
Nebraska,NE,NE-02,2,250,434745,350634,26942,42777,9716,3918,177,
Nebraska,NE,NE-03,3,251,477055,427232,32049,5580,3504,8522,312,
New Hampshire,NH,NH-01,1,252,531305,493354,14144,8435,11448,3408,158,
New Hampshire,NH,NH-02,2,253,533985,496165,15428,6545,11133,4198,97,
New Jersey,NJ,NJ-01,1,254,553992,377725,56907,92795,23524,2341,65,
New Jersey,NJ,NJ-02,2,255,562710,410813,59600,69410,18707,3689,143,
New Jersey,NJ,NJ-03,3,256,555333,397972,42976,74428,35880,2297,170,
New Jersey,NJ,NJ-04,4,257,534613,464388,35610,19270,13241,1480,24,
New Jersey,NJ,NJ-05,5,258,537776,367299,66853,33050,67998,2057,150,
New Jersey,NJ,NJ-06,6,259,502456,279955,87934,64761,66811,1794,239,
New Jersey,NJ,NJ-07,7,260,554257,443125,46489,28935,33409,1797,69,
New Jersey,NJ,NJ-08,8,261,401506,140460,186793,41758,30569,1149,350,
New Jersey,NJ,NJ-09,9,262,463253,226449,154048,45602,35463,1042,131,
New Jersey,NJ,NJ-10,10,263,471823,113141,75313,251822,27912,2317,124,
New Jersey,NJ,NJ-11,11,264,531057,382223,62852,36096,47349,1161,90,
New Jersey,NJ,NJ-12,12,265,487523,265271,60875,88936,69423,2070,134,
New Mexico,NM,NM-01,1,266,536198,280203,202724,14869,13340,23970,368,
New Mexico,NM,NM-02,2,267,476866,172232,259889,10672,4240,29111,267,
New Mexico,NM,NM-03,3,268,498330,204498,190327,7740,4253,91043,511,
Nevada,NV,NV-01,1,269,494059,270462,118607,50655,42363,5172,3181,
Nevada,NV,NV-02,2,270,539851,403702,82085,13422,21507,14952,2145,
Nevada,NV,NV-03,3,271,541246,292375,92091,57477,85120,5046,4138,
Nevada,NV,NV-04,4,272,496083,244268,115229,90630,30842,7805,4212,
New York,NY,NY-01,1,273,561937,461556,49405,25268,23514,1269,78,
New York,NY,NY-02,2,274,541020,364982,99630,57749,14658,3153,162,
New York,NY,NY-03,3,275,547326,369765,56107,22404,96368,1621,210,
New York,NY,NY-04,4,276,532981,318587,80249,99741,31423,1530,207,
New York,NY,NY-05,5,277,501218,86037,86337,242618,76692,4601,1325,
New York,NY,NY-06,6,278,423911,152773,91286,24065,151860,2561,269,
New York,NY,NY-07,7,279,463979,191200,154810,64535,49590,1861,101,
New York,NY,NY-08,8,280,497769,151813,71519,236755,35066,2115,48,
New York,NY,NY-09,9,281,469595,161579,45273,226157,33279,1793,130,
New York,NY,NY-10,10,282,489035,279363,82763,36894,86273,1990,285,
New York,NY,NY-11,11,283,497937,308859,71639,35730,79210,1774,153,
New York,NY,NY-12,12,284,534323,391349,58517,25867,55930,1766,162,
New York,NY,NY-13,13,285,515756,98256,245258,145223,23074,2224,180,
New York,NY,NY-14,14,286,433229,103042,197849,88744,40076,1916,134,
New York,NY,NY-15,15,287,438428,54844,222669,147137,11420,1700,335,
New York,NY,NY-16,16,288,498671,246083,103360,117024,28857,2284,208,
